Plot,Easting(m),Northing(m),Altitude,RtkStdLon,RtkStdLat,RtkStdHgt,mean.B1_Blue,mean.B2_Green,mean.B3_Red,mean.B4_RedEdge,mean.B5_NIR,Mean_NDVI,Mean_EVI,Mean_OSAVI,Mean_TDVI,Mean_GDVI
S2P19,522478.6738,7339148.506,1162.256,0.01288,0.0122,0.02822,26946.634765625,27090.0234375,22434.458984375,31154.291015625,33337.01953125,0.2097204625606537,-0.73030853271484375,0.20971979200839996,0.4643805921077728,6246.99609375
S2P20,522445.9256,7339155.053,1162.427,0.01374,0.01193,0.0274,24530.451171875,22246.46875,18820.904296875,22714.37109375,24655.5703125,0.15435554087162018,-0.6964186429977417,0.15435488522052765,0.35140693187713623,2409.10302734375
S2P21,522445.7589,7339149.862,1162.382,0.01333,0.01199,0.0273,35013.82421875,31442.14453125,28262.072265625,29444.8046875,29245.66015625,0.023625822737812996,-0.11445975303649902,0.023625729605555534,0.046053964644670486,-2196.485107421875
S2P22,522451.2122,7339121.409,1161.755,0.01335,0.01304,0.03205,25186.79296875,27164.591796875,23097.4296875,33606.2890625,35871.48046875,0.24617111682891846,-39.69353485107422,0.24617034196853638,0.5234886407852173,8706.8876953125
S2P23,522474.5996,7339129.436,1162.252,0.01201,0.01129,0.024140000000000002,23289.22265625,24185.93359375,21703.169921875,35650.359375,36961.80078125,0.25862690806388855,-22.64729118347168,0.25862616300582886,0.5697785019874573,12775.8642578125
S2P24,522470.9819,7339142.091,1162.2,0.01244,0.01124,0.02417,23681.353515625,23855.814453125,20768.87890625,28773.095703125,28763.35546875,0.15888431668281555,-0.4884567856788635,0.15888378024101257,0.3682001531124115,4907.54052734375
S2P25,522465.6292,7339123.324,1161.989,0.01286,0.01126,0.02707,33734.11328125,28183.09765625,29636.396484375,34107.84765625,33406.2734375,0.08054570108652115,-0.4224694073200226,0.08054542541503906,0.16121229529380798,5223.17529296875
S2P26,522475.1313,7339137.191,1162.382,0.01164,0.01175,0.02433,24934.1328125,25272.849609375,23355.58203125,32214.15625,32265.201171875,0.16297978162765503,-9.26906967163086,0.16297927498817444,0.3740246891975403,6992.3525390625
S2P27,522466.4233,7339127.219,1162.077,0.01238,0.01298,0.02612,27862.669921875,23429.595703125,23727.0703125,29126.8046875,29561.138671875,0.12235314399003983,-0.9788793325424194,0.1223527118563652,0.28396397829055786,6131.54443359375
S2P28,522461.3854,7339134.116,1162.083,0.01303,0.01181,0.02636,25820.736328125,26540.90234375,22914.69921875,31429.19140625,32803.89453125,0.19050510227680206,-0.4772650897502899,0.19050449132919312,0.44280141592025757,6262.9921875
S2P29,522433.4846,7339132.826,1162.269,0.01392,0.01183,0.03074,31322.69140625,31397.73046875,26782.736328125,35559.359375,36774.9296875,0.17381811141967773,-0.2594006359577179,0.17381761968135834,0.3901344835758209,5377.19775390625
S2P30,522455.6251,7339143.822,1162.106,0.01222,0.01166,0.02544,25604.478515625,23939.302734375,21769.826171875,24437.19140625,24847.9375,0.07037074863910675,-0.40967991948127747,0.07037048041820526,0.17757843434810638,908.634033203125
