AOI,Plot_ID,Species,Grazing value,total_AGB (g),AGB,Mean_Canopy_Height(m),B1,B2,B3,B4,B5,NDVI,EVI,OSAVI,TDVI,GDVI,grazing_value
2,S2P20,S.uniplumis,Average,250.63,732.8362573,0.111316085,24530.45117,22246.46875,18820.9043,22714.37109,24655.57031,0.154355541,-0.696418643,0.154354885,0.351406932,2409.103027,1253.15
2,S2P21,S.uniplumis,Average,163.07,476.8128655,0.115486056,35013.82422,31442.14453,28262.07227,29444.80469,29245.66016,0.023625823,-0.114459753,0.02362573,0.046053965,-2196.485107,793.15
2,S2P22,S.kalihariensis,Low,40.38,118.0701754,0.026190871,25186.79297,27164.5918,23097.42969,33606.28906,35871.48047,0.246171117,-39.69353485,0.246170342,0.523488641,8706.887695,40.38
2,S2P23,T.terrestris,Low,35.87,104.8830409,0.023049757,23289.22266,24185.93359,21703.16992,35650.35938,36961.80078,0.258626908,-22.64729118,0.258626163,0.569778502,12775.86426,35.87
2,S2P24,T.terrestris,Low,31.51,92.13450292,0.019692067,23681.35352,23855.81445,20768.87891,28773.0957,28763.35547,0.158884317,-0.488456786,0.15888378,0.368200153,4907.540527,31.51
2,S2P25,S.kalihariensis,Low,13.55,39.61988304,0.012759604,33734.11328,28183.09766,29636.39648,34107.84766,33406.27344,0.080545701,-0.422469407,0.080545425,0.161212295,5223.175293,13.55
2,S2P26,T.terrestris,Low,40.7,119.005848,0.008574249,24934.13281,25272.84961,23355.58203,32214.15625,32265.20117,0.162979782,-9.269069672,0.162979275,0.374024689,6992.352539,40.7
2,S2P27,S.uniplumis,Average,87.18,254.9122807,0.012195224,27862.66992,23429.5957,23727.07031,29126.80469,29561.13867,0.122353144,-0.978879333,0.122352712,0.283963978,6131.544434,413.22
2,S2P28,S.uniplumis,Average,40.9,119.5906433,0.021606976,25820.73633,26540.90234,22914.69922,31429.19141,32803.89453,0.190505102,-0.47726509,0.190504491,0.442801416,6262.992188,170.74
2,S2P29,S.kalihariensis,Low,29.36,85.84795322,0.012509793,31322.69141,31397.73047,26782.73633,35559.35938,36774.92969,0.173818111,-0.259400636,0.17381762,0.390134484,5377.197754,29.36
