Harvest_plot_ID,Species,Dry_weight_g,Ecological_class,Weight,Synthetic_score
S3P06,Stipagrostis uniplumis,45.04,3,5,225.2
S3P07,Tall Bushman,113.07,2,7,791.49
S3P08,Stipagrostis uniplumis,78.87,3,5,394.35
S3P09,Stipagrostis uniplumis,37.86,3,5,189.3
S3P10,Tall Bushman,137.52,2,7,962.64
S3P10,Stipagrostis uniplumis,11.72,3,5,58.6
S3P11,Stipagrostis uniplumis,15.26,3,5,76.3
S3P11,Schmidtia pappophoroides,73.72,2,7,516.04
S3P12,Eragrostis pallens,135.94,5,1,135.94
S3P13,Tall Bushman,143.49,2,7,1004.43
S3P13,Stipagrostis uniplumis,44.97,3,5,224.85
S3P14,Stipagrostis uniplumis,229.93,3,5,1149.65
S3P15,Stipagrostis uniplumis,189.88,3,5,949.4
S3P16,Stipagrostis uniplumis,137.53,3,5,687.65
S3P17,Tall Bushman,59.16,2,7,414.12
S3P17,Stipagrostis uniplumis,50.67,3,5,253.35
S3P18,Stipagrostis uniplumis,4.02,3,5,20.1
S3P18,Schmidtia kalihariensis,3.92,5,1,3.92
S3P19,Schmidtia pappophoroides,16.34,2,7,114.38
S3P20,Schmidtia pappophoroides,131.64,2,7,921.48
S3P21,Stipagrostis uniplumis,192.53,3,5,962.65
S3P22,Stipagrostis uniplumis,8.09,3,5,40.45
S3P22,Schmidtia pappophoroides,60.73,2,7,425.11
S3P23,Stipagrostis uniplumis,78.97,3,5,394.85
S3P24,Tall Bushman,119.65,2,7,837.55
S3P25,Tall Bushman,46.03,2,7,322.21
S3P25,Stipagrostis uniplumis,34.05,3,5,170.25
S3P25,Forb 1,8.59,5,1,8.59
S3P26,Tall Bushman,82.44,2,7,577.08
S3P26,Stipagrostis uniplumis,16.44,3,5,82.2
S3P27,Stipagrostis uniplumis,32.65,3,5,163.25
S3P27,Forb 1,0.21,5,1,0.21
S3P27,Forb 2,0.9,5,1,0.9
S3P28,Schmidtia pappophoroides,100.28,2,7,701.96
S3P29,Tall Bushman,11.17,2,7,78.19
S3P29,Schmidtia kalihariensis,16.37,5,1,16.37
S3P30,Stipagrostis uniplumis,40.03,3,5,200.15
S3P30,Schmidtia pappophoroides,130.54,2,7,913.78
