AOI,Plot_ID,Species,Grazing value,total_AGB (g),AGB (g/m2),Mean_Canopy_Height(m),NDVI,EVI,OSAVI,TDVI,GDVI,PredictedCHM,PredictedNDVI
3,S3P08,S.uniplumis,Average,78.87,230.6140351,0.036811404,0.121698052,5.067526817,0.121697582,0.294709295,2684.502441,146.19238859930928,136.95254518709316
3,S3P09,S.uniplumis,Average,37.86,110.7017544,0.008033516,0.111718349,-0.584972918,0.111717984,0.287239939,3186.072998,77.56235627963763,136.95403336493573
3,S3P10,S.ciliata,High,149.24,436.374269,0.132008538,0.066728488,0.178275779,0.066728242,0.17686902,1930.072021,373.22025051746374,136.96074227343524
3,S3P11,S.pappophoroides,High,88.98,260.1754386,0.071152821,0.145271033,-1.243007421,0.145270482,0.360615969,3490.313232,228.0904263779441,136.94902997346338
3,S3P12,E.pallens,Low,135.94,397.4853801,0.024889154,0.187523142,-0.856662631,0.187522337,0.437950194,4179.386719,117.75998929248018,136.94272931978514
3,S3P13,S.ciliata,High,188.46,551.0526316,0.146945342,0.070175655,-0.641226351,0.070175283,0.182963178,369.6118774,408.8418132003333,136.96022823032703
3,S3P14,S.uniplumis,Average,229.93,672.3099415,0.255726308,0.417770624,-0.443746686,0.417768985,0.865239263,13486.8291,668.2646454924426,136.9083947107277
3,S3P15,S.uniplumis,Average,189.88,555.2046784,0.221044704,0.208878458,0.079208873,0.208877102,0.469982713,2923.393555,585.5553235499132,136.93954480536703
3,S3P16,S.uniplumis,Average,137.53,402.1345029,0.067116022,0.247156084,-2.874533892,0.24715519,0.574160397,8515.353516,218.4633944762973,136.93383682839834
3,S3P17,S.ciliata,High,109.83,321.1403509,0.10019774,0.052277561,0.080172151,0.052277334,0.110971279,-732.9073486,297.35727909806883,136.96289720223078
3,S3P18,S.uniplumis,Average,7.94,23.21637427,0.022376878,0.015993934,-0.208277166,0.015993897,0.041647628,-416.4829407,111.76866765428576,136.96830783316324
3,S3P19,S.pappophoroides,High,16.34,47.77777778,0.016533133,-0.020466471,0.08278922,-0.020466432,-0.077387825,-4506.577148,97.83239796632535,136.97374482531131
3,S3P20,S.pappophoroides,High,131.64,384.9122807,0.179439649,0.079220392,0.870703399,0.079220071,0.210790694,46.12041092,486.3348293527116,136.95887947503894
3,S3P21,S.uniplumis,Average,192.53,562.9532164,0.087391146,0.019837832,-0.062223207,0.019837741,0.038859759,-2098.628662,266.8158800862681,136.9677346293482
3,S3P22,S.pappophoroides,High,68.82,201.2280702,0.051079772,0.10482353,-1.875052571,0.104823165,0.261883438,2038.109009,180.21985291458387,136.9550615234755
3,S3P23,S.uniplumis,Average,78.97,230.9064327,0.016503988,0.162962601,0.163245052,0.162962094,0.392588943,4696.20459,97.76289243861058,136.94639179881054
3,S3P24,S.ciliata,High,119.65,349.8538012,0.098508134,0.017704349,0.280040354,0.017704282,0.034903713,-1199.887817,293.3278758844796,136.96805277530183
3,S3P25,S.ciliata,High,88.67,259.2690058,0.023378871,0.090430275,-0.989995658,0.090429932,0.21822083,1618.524536,114.15823884081914,136.95720785219623
3,S3P26,S.ciliata,High,98.88,289.122807,0.047065649,0.011823738,0.563257694,0.01182369,0.022758627,-1572.372314,170.6468991514329,136.9689296946842
3,S3P27,S.uniplumis,Average,33.76,98.71345029,0.009836124,0.047254719,-0.192124695,0.047254574,0.127504349,1184.280396,81.86124872440976,136.96364621071038
3,S3P28,S.pappophoroides,High,100.28,293.2163743,0.113346972,0.158958972,-1.300595999,0.158958286,0.377545953,2907.693604,328.7158074632797,136.94698882178483
3,S3P29,S.kalihariensis,Low,27.54,80.52631579,0.096569069,0.124999009,-3.127613783,0.124998443,0.316489369,1962.678101,288.70355829661685,136.95205294688657
3,S3P30,S.pappophoroides,High,170.57,498.7426901,0.011109891,0.030767344,-0.573877275,0.030767221,0.085267417,-1418.146729,84.89895150432645,136.96610481555632
