AOI,Plot_ID,Easting_m,Northing_m,Species,Value,total_AGB (g),AGB_g_m_2,Mean_Canopy_Height_m,B1,B2,B3,B4,B5,NDVI,EVI,OSAVI,TDVI,GDVI,TCARI,MCARI,NDRE,GCI,grazing_value
2,S2P03,522447.4235,7339123.559,S.kalihariensis,1,20.52,60,0.019226111,29238.2168,30348.75977,26184.4668,36470.29297,38781.5,0.207195714,-8.32528019,0.207195163,0.473069072,8432.738281,36123.10156,21975.75781,0.03167383,0.340354741,60
2,S2P04,522459.8384,7339132.999,S.uniplumis,2,294.14,860.0584795,0.115303524,23708.42383,24638.76172,22411.98438,31028.01563,33110.11328,0.219682992,-0.51196444,0.219682232,0.513837397,8471.349609,30715.31836,16262.33887,0.038725697,0.443450183,4247.777778
2,S2P05,522477.6889,7339147.379,S.uniplumis,2,182.33,533.128655,0.024649246,25363.67578,26621.73828,23089.58398,31604.62109,35710.95313,0.22734426,15.03297615,0.227343604,0.53395921,9089.214844,36316.95703,19483.4043,0.063112162,0.394818753,2609.736842
2,S2P06,522472.4167,7339124.144,S.uniplumis,2,165.81,484.8245614,0.082453005,22813.90234,22070.83008,21067.75977,25150.55469,27042.8125,0.135449186,-0.463754177,0.135448694,0.333757579,4971.981934,17280.25,7877.661621,0.037965123,0.280061245,2287.631579
2,S2P07,522452.5768,7339123.498,S.kalihariensis,1,20.41,59.67836257,0.012806531,28423.80859,29037.86328,25423.23047,33823.64453,34402.36719,0.159848705,-2.463151693,0.159848228,0.37307477,5364.50293,25929.92188,14785.89941,0.009880881,0.229239434,72.77777778
2,S2P08,522436.2139,7339115.749,T.terrestris,1,60.39,176.5789474,0.084626764,17801.33398,20140.12109,16965.74609,32230.19141,35199.54688,0.342173278,9.032855034,0.342172176,0.723906815,15059.4248,50784.84375,42245.74609,0.043284427,0.857534349,176.5789473
2,S2P09,522440.263,7339120.811,T.terrestris,1,46.9,137.1345029,0.052185129,21160.13281,22182.91211,18078.9082,29364.55664,31833.74805,0.267799199,0.484111667,0.267798305,0.588573098,9650.837891,38934.22656,28515.1875,0.039980162,0.52372247,137.1345029
2,S2P10,522461.6082,7339108.94,T.terrestris,1,42.87,125.3508772,0.0898811,25094.33984,21803.22852,21756.15234,35404.21484,38823.35938,0.307452917,-1.392239809,0.307451993,0.639008939,17020.13281,47094.21094,38843.79297,0.046993077,0.983119845,125.3508772
2,S2P11,522453.7781,7339138.129,S.uniplumis,2,88.67,259.2690058,0.041789904,27354.5918,26692.49219,23259.09375,29564.67578,30918.67383,0.14765054,-1.575159073,0.147650078,0.357653141,4226.182129,22299.55664,11634.92676,0.023207303,0.191915929,1087.339181
2,S2P12,522461.7726,7339125.614,T.terrestris,1,56.23,164.4152047,0.039300244,19184.58398,18186.50781,16659.70508,30406.94922,32669.6875,0.326659322,0.24407123,0.326658219,0.702914119,14483.17871,44667.46094,33051.79297,0.036706429,0.874651849,164.4152047
2,S2P13,522465.6958,7339124.268,T.terrestris,1,41.93,122.6023392,0.08508575,22401.52539,21783.40039,18955.0918,34978.47266,37451.35156,0.336936027,-0.225743219,0.336935014,0.709574401,15667.9502,51552.73438,40981.69141,0.034870148,0.844699681,122.6023392
2,S2P14,522479.5897,7339143.895,S.kalihariensis,1,27.56,80.58479532,0.010585937,26717.13281,27783.94727,22579.98047,34232.05859,36705.60156,0.252766401,-1.346244335,0.252765685,0.562864423,8921.655273,40437.76953,27465.97852,0.035172395,0.396697015,80.58479533
2,S2P15,522442.2581,7339141.171,T.terrestris,1,28.73,84.00584795,0.006244821,29333.68945,29115.94141,25791.50586,34915.16406,34973.77734,0.157782868,-1.194039583,0.157782435,0.365922987,5857.833984,26332.91797,15203.34766,0.001679065,0.278633565,98.2748538
2,S2P16,522436.8121,7339145.819,T.terrestris,1,43.49,127.1637427,0.044647336,25719.64063,27815.19531,23931.41797,35792.625,36930.17578,0.233825743,0.508593798,0.233825043,0.496995062,9114.983398,36715.55078,29053.1582,0.017727168,0.455263257,138.7426901
2,S2P17,522470.0052,7339124.153,S.kalihariensis,1,22.17,64.8245614,0.008487211,25739.14844,25932.99609,23542.89648,34064.21875,36238.92578,0.229640648,-0.459602714,0.229639977,0.522152722,10305.93066,36200.28125,21729.76953,0.032629773,0.475741178,68.33333334
2,S2P18,522468.0425,7339145.761,S.uniplumis,2,41.84,122.3391813,0.012442925,35383.41797,35495.25,33590.28906,38563.52734,37619.98828,0.068916373,-0.059379522,0.068916187,0.163254395,2124.736816,11660.51074,6153.23877,-0.009485201,0.100387216,525.6140353
2,S2P19,522478.6738,7339148.506,S.kalihariensis,1,23.66,69.18128655,0.016819205,26946.63477,27090.02344,22434.45898,31154.29102,33337.01953,0.209720463,-0.730308533,0.209719792,0.464380592,6246.996094,31264.85352,20456.69727,0.034625206,0.287664413,69.18128655
2,S2P20,522445.9256,7339155.053,S.uniplumis,2,250.63,732.8362573,0.111316085,24530.45117,22246.46875,18820.9043,22714.37109,24655.57031,0.154355541,-0.696418643,0.154354885,0.351406932,2409.103027,16781.83398,9952.064453,0.041889977,0.174060777,3664.181287
2,S2P21,522445.7589,7339149.862,S.uniplumis,2,163.07,476.8128655,0.115486056,35013.82422,31442.14453,28262.07227,29444.80469,29245.66016,0.023625823,-0.114459753,0.02362573,0.046053965,-2196.485107,2755.80127,2378.156006,-0.001612068,-0.046871185,2319.152047
2,S2P22,522451.2122,7339121.409,S.kalihariensis,1,40.38,118.0701754,0.026190871,25186.79297,27164.5918,23097.42969,33606.28906,35871.48047,0.246171117,-39.69353485,0.246170342,0.523488641,8706.887695,36128.53125,27050.64648,0.03515305,0.448271006,118.0701754
2,S2P23,522474.5996,7339129.436,T.terrestris,1,35.87,104.8830409,0.023049757,23289.22266,24185.93359,21703.16992,35650.35938,36961.80078,0.258626908,-22.64729118,0.258626163,0.569778502,12775.86426,42967.76953,29288.67773,0.018791579,0.636512399,104.8830409
2,S2P24,522470.9819,7339142.091,T.terrestris,1,31.51,92.13450292,0.019692067,23681.35352,23855.81445,20768.87891,28773.0957,28763.35547,0.158884317,-0.488456786,0.15888378,0.368200153,4907.540527,22970.02734,13168.37793,0.001355202,0.269058764,92.13450292
2,S2P25,522465.6292,7339123.324,S.kalihariensis,1,13.55,39.61988304,0.012759604,33734.11328,28183.09766,29636.39648,34107.84766,33406.27344,0.080545701,-0.422469407,0.080545425,0.161212295,5223.175293,10576.79102,7391.900879,-0.009668395,0.228872582,39.61988304
